STOCK,PRICE,TIME
FREQ,22.66,2020-07-08 15:05:09.143194
FSLY,92.67,2020-07-08 15:05:09.673335
TTD,458.99,2020-07-08 15:05:10.132203
PLIG,9.38,2020-07-08 15:05:10.763881
DOCU,200.97,2020-07-08 15:05:11.331121
OSTL,43.61,2020-07-08 15:06:09.830029
ZM,264.15,2020-07-08 15:06:10.532978
TSLA,1404.43,2020-07-08 15:06:11.090454
CLDR,12.11,2020-07-08 15:06:11.533722
FREQ,22.66,2020-07-08 15:06:12.003312
FSLY,92.64,2020-07-08 15:06:12.611557
TTD,458.88,2020-07-08 15:06:13.224686
PLIG,9.37,2020-07-08 15:06:13.655258
DOCU,200.88,2020-07-08 15:06:14.752623
OSTL,43.25,2020-07-08 15:09:32.037021
ZM,265.52,2020-07-08 15:09:32.572044
TSLA,1408.44,2020-07-08 15:09:33.125616
CLDR,12.09,2020-07-08 15:09:33.562044
FREQ,22.66,2020-07-08 15:09:34.001374
FSLY,93.06,2020-07-08 15:09:34.435835
TTD,459.86,2020-07-08 15:09:35.028460
PLIG,9.47,2020-07-08 15:09:35.532241
DOCU,201.81,2020-07-08 15:09:36.079968
OSTL,42.71,2020-07-08 15:21:20.458947
ZM,267.78,2020-07-08 15:21:20.922698
TSLA,1398.65,2020-07-08 15:21:21.597335
CLDR,12.09,2020-07-08 15:21:22.257327
FREQ,22.64,2020-07-08 15:21:22.661523
FSLY,92.9,2020-07-08 15:21:23.248291
TTD,461.0,2020-07-08 15:21:23.995175
PLIG,9.42,2020-07-08 15:21:24.535080
DOCU,202.57,2020-07-08 15:21:25.064243
OSTL,42.29,2020-07-08 15:29:58.451027
OSTL,42.21,2020-07-08 15:36:53.260189
OSTL,42.17,2020-07-08 15:37:26.304669
OSTL,42.01,2020-07-08 15:38:44.824929
ZM,267.29,2020-07-08 15:38:45.563027
TSLA,1400.0,2020-07-08 15:38:46.151766
CLDR,12.09,2020-07-08 15:38:47.178851
FREQ,22.67,2020-07-08 15:38:47.696288
FSLY,93.15,2020-07-08 15:38:48.344565
TTD,461.71,2020-07-08 15:38:48.818081
PLIG,9.44,2020-07-08 15:38:49.269140
DOCU,204.32,2020-07-08 15:38:50.408507
ZM,267.3,2020-07-08 15:38:58.093739
TSLA,1401.7,2020-07-08 15:38:58.471587
CLDR,12.1,2020-07-08 15:38:58.932411
FREQ,22.67,2020-07-08 15:38:59.399078
FSLY,93.15,2020-07-08 15:38:59.980966
TTD,461.46,2020-07-08 15:39:00.488670
PLIG,9.44,2020-07-08 15:39:00.966073
DOCU,204.09,2020-07-08 15:39:01.502087
OSTL,42.4,2020-07-08 15:40:41.870300
ZM,266.77,2020-07-08 15:40:42.448282
TSLA,1400.04,2020-07-08 15:40:43.079977
CLDR,12.09,2020-07-08 15:40:43.572028
FREQ,22.67,2020-07-08 15:40:52.650912
FSLY,93.1,2020-07-08 15:40:53.364602
TTD,461.49,2020-07-08 15:40:54.125174
PLIG,9.42,2020-07-08 15:40:54.671895
DOCU,203.99,2020-07-08 15:40:55.248901
ZM,267.12,2020-07-08 15:41:02.742163
TSLA,1403.29,2020-07-08 15:41:03.201034
CLDR,12.09,2020-07-08 15:41:03.655041
FREQ,22.67,2020-07-08 15:41:04.067030
FSLY,93.29,2020-07-08 15:41:04.563977
TTD,461.51,2020-07-08 15:41:05.074594
PLIG,9.43,2020-07-08 15:41:05.668196
DOCU,204.0,2020-07-08 15:41:06.463253
OSTL,41.43,2020-07-08 16:36:22.701839
ZM,264.61,2020-07-08 16:36:23.161688
TSLA,1392.76,2020-07-08 16:36:23.597128
CLDR,11.98,2020-07-08 16:36:24.125320
FREQ,21.92,2020-07-08 16:36:24.616411
FSLY,92.13,2020-07-08 16:36:25.105549
TTD,457.19,2020-07-08 16:36:25.600564
PLIG,9.4,2020-07-08 16:36:26.010603
DOCU,203.96,2020-07-08 16:36:27.083583
OSTL,43.44,2020-07-09 12:35:56.167324
ZM,266.32,2020-07-09 12:35:56.960626
TSLA,1365.88,2020-07-09 12:35:57.622576
CLDR,12.5,2020-07-09 12:35:58.206618
FREQ,22.95,2020-07-09 12:35:58.650845
FSLY,96.18,2020-07-09 12:35:59.097026
TTD,462.49,2020-07-09 12:35:59.537351
PLIG,9.5,2020-07-09 12:36:00.003060
DOCU,206.35,2020-07-09 12:36:00.658680
OSTL,43.26,2020-07-09 15:56:03.936032
ZM,267.92,2020-07-09 15:56:04.863166
TSLA,1369.49,2020-07-09 15:56:05.334075
CLDR,12.1,2020-07-09 15:56:05.970032
FREQ,22.3,2020-07-09 15:56:06.503321
FSLY,99.61,2020-07-09 15:56:07.119117
TTD,451.12,2020-07-09 15:56:07.651176
PLIG,8.66,2020-07-09 15:56:08.293002
DOCU,208.96,2020-07-09 15:56:08.886611
OSTL,43.15,2020-07-09 16:12:49.842517
ZM,267.01,2020-07-09 16:12:50.664351
TSLA,1361.5,2020-07-09 16:12:51.766696
CLDR,12.11,2020-07-09 16:12:52.590942
FREQ,22.46,2020-07-09 16:12:58.411212
FSLY,99.02,2020-07-09 16:12:59.237458
TTD,449.12,2020-07-09 16:13:00.042097
PLIG,8.59,2020-07-09 16:13:00.849771
DOCU,209.96,2020-07-09 16:13:02.036479
OSTK,43.66,2020-07-09 16:29:39.367304
ZM,266.19,2020-07-09 16:29:40.290635
TSLA,1365.04,2020-07-09 16:29:41.128427
CLDR,12.09,2020-07-09 16:29:41.910871
FREQ,22.33,2020-07-09 16:29:42.705936
FSLY,99.32,2020-07-09 16:29:43.424204
TTD,451.97,2020-07-09 16:29:44.129427
OSTK,43.66,2020-07-09 16:30:39.933857
ZM,266.28,2020-07-09 16:30:41.860957
TSLA,1370.96,2020-07-09 16:30:42.627497
CLDR,12.1,2020-07-09 16:30:43.366735
FREQ,22.33,2020-07-09 16:30:44.105340
FSLY,99.71,2020-07-09 16:30:45.147399
TTD,452.32,2020-07-09 16:30:45.893040
PLUG,8.65,2020-07-09 16:30:46.704800
DOCU,211.59,2020-07-09 16:30:47.520044
AMZN,3096.0,2020-07-09 16:30:48.443668
OSTK,43.62,2020-07-09 16:32:40.787820
ZM,265.91,2020-07-09 16:32:41.621639
TSLA,1368.49,2020-07-09 16:32:42.424236
OSTK,43.68,2020-07-09 16:33:03.145212
ZM,266.25,2020-07-09 16:33:04.297350
TSLA,1370.0,2020-07-09 16:33:05.127877
CLDR,12.06,2020-07-09 16:33:06.095518
FREQ,22.23,2020-07-09 16:33:06.922070
FSLY,99.49,2020-07-09 16:33:07.791616
TTD,452.51,2020-07-09 16:33:08.541622
PLUG,8.62,2020-07-09 16:33:09.267599
DOCU,211.42,2020-07-09 16:33:10.106570
AMZN,3097.62,2020-07-09 16:33:10.934494
OSTK,43.7,2020-07-09 16:33:30.886321
ZM,266.09,2020-07-09 16:33:31.821162
TSLA,1370.95,2020-07-09 16:33:32.608747
CLDR,12.07,2020-07-09 16:33:33.381031
FREQ,22.23,2020-07-09 16:33:34.148609
